subj,dataset,analysis,split_num,splitA,splitB,condition,pearsonr
humanvshuman,low-pass,humanvshuman_splithalves,0,['subject-01' 'subject-02'],['subject-03' 'subject-04'],0,0.49029559935355915
humanvshuman,low-pass,humanvshuman_splithalves,0,['subject-01' 'subject-02'],['subject-03' 'subject-04'],1,0.7042503817074944
humanvshuman,low-pass,humanvshuman_splithalves,0,['subject-01' 'subject-02'],['subject-03' 'subject-04'],3,0.6783856213256111
humanvshuman,low-pass,humanvshuman_splithalves,0,['subject-01' 'subject-02'],['subject-03' 'subject-04'],5,0.6959550215597067
humanvshuman,low-pass,humanvshuman_splithalves,0,['subject-01' 'subject-02'],['subject-03' 'subject-04'],7,0.654482300650718
humanvshuman,low-pass,humanvshuman_splithalves,0,['subject-01' 'subject-02'],['subject-03' 'subject-04'],10,0.47938111368413244
humanvshuman,low-pass,humanvshuman_splithalves,0,['subject-01' 'subject-02'],['subject-03' 'subject-04'],15,0.45158934306248766
humanvshuman,low-pass,humanvshuman_splithalves,0,['subject-01' 'subject-02'],['subject-03' 'subject-04'],40,0.08686740991987814
humanvshuman,low-pass,humanvshuman_splithalves,1,['subject-01' 'subject-03'],['subject-02' 'subject-04'],0,0.35804600862128333
humanvshuman,low-pass,humanvshuman_splithalves,1,['subject-01' 'subject-03'],['subject-02' 'subject-04'],1,0.704128780293901
humanvshuman,low-pass,humanvshuman_splithalves,1,['subject-01' 'subject-03'],['subject-02' 'subject-04'],3,0.675960573844576
humanvshuman,low-pass,humanvshuman_splithalves,1,['subject-01' 'subject-03'],['subject-02' 'subject-04'],5,0.650817522102496
humanvshuman,low-pass,humanvshuman_splithalves,1,['subject-01' 'subject-03'],['subject-02' 'subject-04'],7,0.6236200836023403
humanvshuman,low-pass,humanvshuman_splithalves,1,['subject-01' 'subject-03'],['subject-02' 'subject-04'],10,0.5225954759558511
humanvshuman,low-pass,humanvshuman_splithalves,1,['subject-01' 'subject-03'],['subject-02' 'subject-04'],15,0.32800166392732677
humanvshuman,low-pass,humanvshuman_splithalves,1,['subject-01' 'subject-03'],['subject-02' 'subject-04'],40,0.0889818448850736
humanvshuman,low-pass,humanvshuman_splithalves,2,['subject-01' 'subject-04'],['subject-02' 'subject-03'],0,0.4424887992750479
humanvshuman,low-pass,humanvshuman_splithalves,2,['subject-01' 'subject-04'],['subject-02' 'subject-03'],1,0.711062554557765
humanvshuman,low-pass,humanvshuman_splithalves,2,['subject-01' 'subject-04'],['subject-02' 'subject-03'],3,0.6873260002314645
humanvshuman,low-pass,humanvshuman_splithalves,2,['subject-01' 'subject-04'],['subject-02' 'subject-03'],5,0.6504960166526386
humanvshuman,low-pass,humanvshuman_splithalves,2,['subject-01' 'subject-04'],['subject-02' 'subject-03'],7,0.6261611801546879
humanvshuman,low-pass,humanvshuman_splithalves,2,['subject-01' 'subject-04'],['subject-02' 'subject-03'],10,0.4733864284435296
humanvshuman,low-pass,humanvshuman_splithalves,2,['subject-01' 'subject-04'],['subject-02' 'subject-03'],15,0.2837546479770612
humanvshuman,low-pass,humanvshuman_splithalves,2,['subject-01' 'subject-04'],['subject-02' 'subject-03'],40,0.08754379421860277
