subj,dataset,analysis,split_num,splitA,splitB,condition,pearsonr
humanvshuman,phase-scrambling,humanvshuman_splithalves,0,['subject-01' 'subject-02'],['subject-03' 'subject-04'],0,0.6709178282716205
humanvshuman,phase-scrambling,humanvshuman_splithalves,0,['subject-01' 'subject-02'],['subject-03' 'subject-04'],30,0.617270813951174
humanvshuman,phase-scrambling,humanvshuman_splithalves,0,['subject-01' 'subject-02'],['subject-03' 'subject-04'],60,0.6628982296679546
humanvshuman,phase-scrambling,humanvshuman_splithalves,0,['subject-01' 'subject-02'],['subject-03' 'subject-04'],90,0.6025268106916473
humanvshuman,phase-scrambling,humanvshuman_splithalves,0,['subject-01' 'subject-02'],['subject-03' 'subject-04'],120,0.5522416013640996
humanvshuman,phase-scrambling,humanvshuman_splithalves,0,['subject-01' 'subject-02'],['subject-03' 'subject-04'],150,0.23170956695697914
humanvshuman,phase-scrambling,humanvshuman_splithalves,0,['subject-01' 'subject-02'],['subject-03' 'subject-04'],180,0.31772088486532724
humanvshuman,phase-scrambling,humanvshuman_splithalves,1,['subject-01' 'subject-03'],['subject-02' 'subject-04'],0,0.41093752172121883
humanvshuman,phase-scrambling,humanvshuman_splithalves,1,['subject-01' 'subject-03'],['subject-02' 'subject-04'],30,0.6464893320503378
humanvshuman,phase-scrambling,humanvshuman_splithalves,1,['subject-01' 'subject-03'],['subject-02' 'subject-04'],60,0.5548461509890249
humanvshuman,phase-scrambling,humanvshuman_splithalves,1,['subject-01' 'subject-03'],['subject-02' 'subject-04'],90,0.6524771059445528
humanvshuman,phase-scrambling,humanvshuman_splithalves,1,['subject-01' 'subject-03'],['subject-02' 'subject-04'],120,0.6117371311822158
humanvshuman,phase-scrambling,humanvshuman_splithalves,1,['subject-01' 'subject-03'],['subject-02' 'subject-04'],150,0.08882957702571874
humanvshuman,phase-scrambling,humanvshuman_splithalves,1,['subject-01' 'subject-03'],['subject-02' 'subject-04'],180,0.17239540134252518
humanvshuman,phase-scrambling,humanvshuman_splithalves,2,['subject-01' 'subject-04'],['subject-02' 'subject-03'],0,0.6285662996706954
humanvshuman,phase-scrambling,humanvshuman_splithalves,2,['subject-01' 'subject-04'],['subject-02' 'subject-03'],30,0.646489332050338
humanvshuman,phase-scrambling,humanvshuman_splithalves,2,['subject-01' 'subject-04'],['subject-02' 'subject-03'],60,0.6836612390055926
humanvshuman,phase-scrambling,humanvshuman_splithalves,2,['subject-01' 'subject-04'],['subject-02' 'subject-03'],90,0.6188130347333516
humanvshuman,phase-scrambling,humanvshuman_splithalves,2,['subject-01' 'subject-04'],['subject-02' 'subject-03'],120,0.5813629223970935
humanvshuman,phase-scrambling,humanvshuman_splithalves,2,['subject-01' 'subject-04'],['subject-02' 'subject-03'],150,0.11574988048752942
humanvshuman,phase-scrambling,humanvshuman_splithalves,2,['subject-01' 'subject-04'],['subject-02' 'subject-03'],180,0.16411208324323023
