subj,dataset,analysis,split_num,splitA,splitB,condition,pearsonr
humanvshuman,silhouette,humanvshuman_splithalves,0,['subject-01' 'subject-02' 'subject-03' 'subject-04' 'subject-05'],['subject-06' 'subject-07' 'subject-08' 'subject-09' 'subject-10'],0,0.7995870477178775
humanvshuman,silhouette,humanvshuman_splithalves,1,['subject-01' 'subject-02' 'subject-03' 'subject-04' 'subject-06'],['subject-05' 'subject-07' 'subject-08' 'subject-09' 'subject-10'],0,0.7993211726565586
humanvshuman,silhouette,humanvshuman_splithalves,2,['subject-01' 'subject-02' 'subject-03' 'subject-04' 'subject-07'],['subject-05' 'subject-06' 'subject-08' 'subject-09' 'subject-10'],0,0.7896739585416214
humanvshuman,silhouette,humanvshuman_splithalves,3,['subject-01' 'subject-02' 'subject-03' 'subject-04' 'subject-08'],['subject-05' 'subject-06' 'subject-07' 'subject-09' 'subject-10'],0,0.8213735062872756
humanvshuman,silhouette,humanvshuman_splithalves,4,['subject-01' 'subject-02' 'subject-03' 'subject-04' 'subject-09'],['subject-05' 'subject-06' 'subject-07' 'subject-08' 'subject-10'],0,0.7878506579825828
humanvshuman,silhouette,humanvshuman_splithalves,5,['subject-01' 'subject-02' 'subject-03' 'subject-04' 'subject-10'],['subject-05' 'subject-06' 'subject-07' 'subject-08' 'subject-09'],0,0.7974048253053858
humanvshuman,silhouette,humanvshuman_splithalves,6,['subject-01' 'subject-02' 'subject-03' 'subject-05' 'subject-06'],['subject-04' 'subject-07' 'subject-08' 'subject-09' 'subject-10'],0,0.8241080938056933
humanvshuman,silhouette,humanvshuman_splithalves,7,['subject-01' 'subject-02' 'subject-03' 'subject-05' 'subject-07'],['subject-04' 'subject-06' 'subject-08' 'subject-09' 'subject-10'],0,0.8304401458731258
humanvshuman,silhouette,humanvshuman_splithalves,8,['subject-01' 'subject-02' 'subject-03' 'subject-05' 'subject-08'],['subject-04' 'subject-06' 'subject-07' 'subject-09' 'subject-10'],0,0.857169906955966
humanvshuman,silhouette,humanvshuman_splithalves,9,['subject-01' 'subject-02' 'subject-03' 'subject-05' 'subject-09'],['subject-04' 'subject-06' 'subject-07' 'subject-08' 'subject-10'],0,0.8118779939524499
humanvshuman,silhouette,humanvshuman_splithalves,10,['subject-01' 'subject-02' 'subject-03' 'subject-05' 'subject-10'],['subject-04' 'subject-06' 'subject-07' 'subject-08' 'subject-09'],0,0.8316748000011065
humanvshuman,silhouette,humanvshuman_splithalves,11,['subject-01' 'subject-02' 'subject-03' 'subject-06' 'subject-07'],['subject-04' 'subject-05' 'subject-08' 'subject-09' 'subject-10'],0,0.8227661120753589
humanvshuman,silhouette,humanvshuman_splithalves,12,['subject-01' 'subject-02' 'subject-03' 'subject-06' 'subject-08'],['subject-04' 'subject-05' 'subject-07' 'subject-09' 'subject-10'],0,0.8383613145733015
humanvshuman,silhouette,humanvshuman_splithalves,13,['subject-01' 'subject-02' 'subject-03' 'subject-06' 'subject-09'],['subject-04' 'subject-05' 'subject-07' 'subject-08' 'subject-10'],0,0.8385280391134317
humanvshuman,silhouette,humanvshuman_splithalves,14,['subject-01' 'subject-02' 'subject-03' 'subject-06' 'subject-10'],['subject-04' 'subject-05' 'subject-07' 'subject-08' 'subject-09'],0,0.7999684810892846
humanvshuman,silhouette,humanvshuman_splithalves,15,['subject-01' 'subject-02' 'subject-03' 'subject-07' 'subject-08'],['subject-04' 'subject-05' 'subject-06' 'subject-09' 'subject-10'],0,0.8363976390627962
humanvshuman,silhouette,humanvshuman_splithalves,16,['subject-01' 'subject-02' 'subject-03' 'subject-07' 'subject-09'],['subject-04' 'subject-05' 'subject-06' 'subject-08' 'subject-10'],0,0.7941537976881018
humanvshuman,silhouette,humanvshuman_splithalves,17,['subject-01' 'subject-02' 'subject-03' 'subject-07' 'subject-10'],['subject-04' 'subject-05' 'subject-06' 'subject-08' 'subject-09'],0,0.7978440141091288
humanvshuman,silhouette,humanvshuman_splithalves,18,['subject-01' 'subject-02' 'subject-03' 'subject-08' 'subject-09'],['subject-04' 'subject-05' 'subject-06' 'subject-07' 'subject-10'],0,0.8283557019624992
humanvshuman,silhouette,humanvshuman_splithalves,19,['subject-01' 'subject-02' 'subject-03' 'subject-08' 'subject-10'],['subject-04' 'subject-05' 'subject-06' 'subject-07' 'subject-09'],0,0.81967869546609
humanvshuman,silhouette,humanvshuman_splithalves,20,['subject-01' 'subject-02' 'subject-03' 'subject-09' 'subject-10'],['subject-04' 'subject-05' 'subject-06' 'subject-07' 'subject-08'],0,0.8150400128161216
humanvshuman,silhouette,humanvshuman_splithalves,21,['subject-01' 'subject-02' 'subject-04' 'subject-05' 'subject-06'],['subject-03' 'subject-07' 'subject-08' 'subject-09' 'subject-10'],0,0.8184482576715674
humanvshuman,silhouette,humanvshuman_splithalves,22,['subject-01' 'subject-02' 'subject-04' 'subject-05' 'subject-07'],['subject-03' 'subject-06' 'subject-08' 'subject-09' 'subject-10'],0,0.8249219748559993
humanvshuman,silhouette,humanvshuman_splithalves,23,['subject-01' 'subject-02' 'subject-04' 'subject-05' 'subject-08'],['subject-03' 'subject-06' 'subject-07' 'subject-09' 'subject-10'],0,0.8262951210577448
humanvshuman,silhouette,humanvshuman_splithalves,24,['subject-01' 'subject-02' 'subject-04' 'subject-05' 'subject-09'],['subject-03' 'subject-06' 'subject-07' 'subject-08' 'subject-10'],0,0.7808745967323064
humanvshuman,silhouette,humanvshuman_splithalves,25,['subject-01' 'subject-02' 'subject-04' 'subject-05' 'subject-10'],['subject-03' 'subject-06' 'subject-07' 'subject-08' 'subject-09'],0,0.8427871238676479
humanvshuman,silhouette,humanvshuman_splithalves,26,['subject-01' 'subject-02' 'subject-04' 'subject-06' 'subject-07'],['subject-03' 'subject-05' 'subject-08' 'subject-09' 'subject-10'],0,0.8365021009924276
humanvshuman,silhouette,humanvshuman_splithalves,27,['subject-01' 'subject-02' 'subject-04' 'subject-06' 'subject-08'],['subject-03' 'subject-05' 'subject-07' 'subject-09' 'subject-10'],0,0.8270019527210779
humanvshuman,silhouette,humanvshuman_splithalves,28,['subject-01' 'subject-02' 'subject-04' 'subject-06' 'subject-09'],['subject-03' 'subject-05' 'subject-07' 'subject-08' 'subject-10'],0,0.8256160935090384
humanvshuman,silhouette,humanvshuman_splithalves,29,['subject-01' 'subject-02' 'subject-04' 'subject-06' 'subject-10'],['subject-03' 'subject-05' 'subject-07' 'subject-08' 'subject-09'],0,0.8297477758693711
humanvshuman,silhouette,humanvshuman_splithalves,30,['subject-01' 'subject-02' 'subject-04' 'subject-07' 'subject-08'],['subject-03' 'subject-05' 'subject-06' 'subject-09' 'subject-10'],0,0.8252348780539465
humanvshuman,silhouette,humanvshuman_splithalves,31,['subject-01' 'subject-02' 'subject-04' 'subject-07' 'subject-09'],['subject-03' 'subject-05' 'subject-06' 'subject-08' 'subject-10'],0,0.7817676493541623
humanvshuman,silhouette,humanvshuman_splithalves,32,['subject-01' 'subject-02' 'subject-04' 'subject-07' 'subject-10'],['subject-03' 'subject-05' 'subject-06' 'subject-08' 'subject-09'],0,0.827657978710084
humanvshuman,silhouette,humanvshuman_splithalves,33,['subject-01' 'subject-02' 'subject-04' 'subject-08' 'subject-09'],['subject-03' 'subject-05' 'subject-06' 'subject-07' 'subject-10'],0,0.7915036495448852
humanvshuman,silhouette,humanvshuman_splithalves,34,['subject-01' 'subject-02' 'subject-04' 'subject-08' 'subject-10'],['subject-03' 'subject-05' 'subject-06' 'subject-07' 'subject-09'],0,0.8250859277494902
humanvshuman,silhouette,humanvshuman_splithalves,35,['subject-01' 'subject-02' 'subject-04' 'subject-09' 'subject-10'],['subject-03' 'subject-05' 'subject-06' 'subject-07' 'subject-08'],0,0.8188724550754483
humanvshuman,silhouette,humanvshuman_splithalves,36,['subject-01' 'subject-02' 'subject-05' 'subject-06' 'subject-07'],['subject-03' 'subject-04' 'subject-08' 'subject-09' 'subject-10'],0,0.8526675639378207
humanvshuman,silhouette,humanvshuman_splithalves,37,['subject-01' 'subject-02' 'subject-05' 'subject-06' 'subject-08'],['subject-03' 'subject-04' 'subject-07' 'subject-09' 'subject-10'],0,0.8367778859809736
humanvshuman,silhouette,humanvshuman_splithalves,38,['subject-01' 'subject-02' 'subject-05' 'subject-06' 'subject-09'],['subject-03' 'subject-04' 'subject-07' 'subject-08' 'subject-10'],0,0.8247154452912748
humanvshuman,silhouette,humanvshuman_splithalves,39,['subject-01' 'subject-02' 'subject-05' 'subject-06' 'subject-10'],['subject-03' 'subject-04' 'subject-07' 'subject-08' 'subject-09'],0,0.8388656538470662
humanvshuman,silhouette,humanvshuman_splithalves,40,['subject-01' 'subject-02' 'subject-05' 'subject-07' 'subject-08'],['subject-03' 'subject-04' 'subject-06' 'subject-09' 'subject-10'],0,0.8515184794160608
humanvshuman,silhouette,humanvshuman_splithalves,41,['subject-01' 'subject-02' 'subject-05' 'subject-07' 'subject-09'],['subject-03' 'subject-04' 'subject-06' 'subject-08' 'subject-10'],0,0.7966550303990485
humanvshuman,silhouette,humanvshuman_splithalves,42,['subject-01' 'subject-02' 'subject-05' 'subject-07' 'subject-10'],['subject-03' 'subject-04' 'subject-06' 'subject-08' 'subject-09'],0,0.8532548228978045
humanvshuman,silhouette,humanvshuman_splithalves,43,['subject-01' 'subject-02' 'subject-05' 'subject-08' 'subject-09'],['subject-03' 'subject-04' 'subject-06' 'subject-07' 'subject-10'],0,0.8004593264574449
humanvshuman,silhouette,humanvshuman_splithalves,44,['subject-01' 'subject-02' 'subject-05' 'subject-08' 'subject-10'],['subject-03' 'subject-04' 'subject-06' 'subject-07' 'subject-09'],0,0.8445553972189426
humanvshuman,silhouette,humanvshuman_splithalves,45,['subject-01' 'subject-02' 'subject-05' 'subject-09' 'subject-10'],['subject-03' 'subject-04' 'subject-06' 'subject-07' 'subject-08'],0,0.8273826213922914
humanvshuman,silhouette,humanvshuman_splithalves,46,['subject-01' 'subject-02' 'subject-06' 'subject-07' 'subject-08'],['subject-03' 'subject-04' 'subject-05' 'subject-09' 'subject-10'],0,0.8446806545557046
