subj,dataset,analysis,split_num,splitA,splitB,condition,pearsonr
humanvshuman,sketch,humanvshuman_splithalves,0,['subject-01' 'subject-02' 'subject-03'],['subject-04' 'subject-05' 'subject-06' 'subject-07'],0,0.6725269221295773
humanvshuman,sketch,humanvshuman_splithalves,1,['subject-01' 'subject-02' 'subject-04'],['subject-03' 'subject-05' 'subject-06' 'subject-07'],0,0.7163429132381136
humanvshuman,sketch,humanvshuman_splithalves,2,['subject-01' 'subject-02' 'subject-05'],['subject-03' 'subject-04' 'subject-06' 'subject-07'],0,0.6167970439045105
humanvshuman,sketch,humanvshuman_splithalves,3,['subject-01' 'subject-02' 'subject-06'],['subject-03' 'subject-04' 'subject-05' 'subject-07'],0,0.6818260592264587
humanvshuman,sketch,humanvshuman_splithalves,4,['subject-01' 'subject-02' 'subject-07'],['subject-03' 'subject-04' 'subject-05' 'subject-06'],0,0.6643672913848919
humanvshuman,sketch,humanvshuman_splithalves,5,['subject-01' 'subject-03' 'subject-04'],['subject-02' 'subject-05' 'subject-06' 'subject-07'],0,0.5940943143870753
humanvshuman,sketch,humanvshuman_splithalves,6,['subject-01' 'subject-03' 'subject-05'],['subject-02' 'subject-04' 'subject-06' 'subject-07'],0,0.6648549238740364
humanvshuman,sketch,humanvshuman_splithalves,7,['subject-01' 'subject-03' 'subject-06'],['subject-02' 'subject-04' 'subject-05' 'subject-07'],0,0.646101367995162
humanvshuman,sketch,humanvshuman_splithalves,8,['subject-01' 'subject-03' 'subject-07'],['subject-02' 'subject-04' 'subject-05' 'subject-06'],0,0.6519193001795469
humanvshuman,sketch,humanvshuman_splithalves,9,['subject-01' 'subject-04' 'subject-05'],['subject-02' 'subject-03' 'subject-06' 'subject-07'],0,0.7162307381071666
humanvshuman,sketch,humanvshuman_splithalves,10,['subject-01' 'subject-04' 'subject-06'],['subject-02' 'subject-03' 'subject-05' 'subject-07'],0,0.6618126853877148
humanvshuman,sketch,humanvshuman_splithalves,11,['subject-01' 'subject-04' 'subject-07'],['subject-02' 'subject-03' 'subject-05' 'subject-06'],0,0.7230683453516378
humanvshuman,sketch,humanvshuman_splithalves,12,['subject-01' 'subject-05' 'subject-06'],['subject-02' 'subject-03' 'subject-04' 'subject-07'],0,0.6957045695497865
humanvshuman,sketch,humanvshuman_splithalves,13,['subject-01' 'subject-05' 'subject-07'],['subject-02' 'subject-03' 'subject-04' 'subject-06'],0,0.6455422606241327
humanvshuman,sketch,humanvshuman_splithalves,14,['subject-01' 'subject-06' 'subject-07'],['subject-02' 'subject-03' 'subject-04' 'subject-05'],0,0.6686073636387355
humanvshuman,sketch,humanvshuman_splithalves,15,['subject-02' 'subject-03' 'subject-04'],['subject-01' 'subject-05' 'subject-06' 'subject-07'],0,0.6517452419167592
humanvshuman,sketch,humanvshuman_splithalves,16,['subject-02' 'subject-03' 'subject-05'],['subject-01' 'subject-04' 'subject-06' 'subject-07'],0,0.6547185305671156
humanvshuman,sketch,humanvshuman_splithalves,17,['subject-02' 'subject-03' 'subject-06'],['subject-01' 'subject-04' 'subject-05' 'subject-07'],0,0.7042774238483878
humanvshuman,sketch,humanvshuman_splithalves,18,['subject-02' 'subject-03' 'subject-07'],['subject-01' 'subject-04' 'subject-05' 'subject-06'],0,0.6905605098641026
humanvshuman,sketch,humanvshuman_splithalves,19,['subject-02' 'subject-04' 'subject-05'],['subject-01' 'subject-03' 'subject-06' 'subject-07'],0,0.6631874634517653
humanvshuman,sketch,humanvshuman_splithalves,20,['subject-02' 'subject-04' 'subject-06'],['subject-01' 'subject-03' 'subject-05' 'subject-07'],0,0.6806918582113871
humanvshuman,sketch,humanvshuman_splithalves,21,['subject-02' 'subject-04' 'subject-07'],['subject-01' 'subject-03' 'subject-05' 'subject-06'],0,0.7232377665810401
humanvshuman,sketch,humanvshuman_splithalves,22,['subject-02' 'subject-05' 'subject-06'],['subject-01' 'subject-03' 'subject-04' 'subject-07'],0,0.640313250937743
humanvshuman,sketch,humanvshuman_splithalves,23,['subject-02' 'subject-05' 'subject-07'],['subject-01' 'subject-03' 'subject-04' 'subject-06'],0,0.571842762237422
humanvshuman,sketch,humanvshuman_splithalves,24,['subject-02' 'subject-06' 'subject-07'],['subject-01' 'subject-03' 'subject-04' 'subject-05'],0,0.6636246837205706
humanvshuman,sketch,humanvshuman_splithalves,25,['subject-03' 'subject-04' 'subject-05'],['subject-01' 'subject-02' 'subject-06' 'subject-07'],0,0.6336161638567296
humanvshuman,sketch,humanvshuman_splithalves,26,['subject-03' 'subject-04' 'subject-06'],['subject-01' 'subject-02' 'subject-05' 'subject-07'],0,0.5752605784226505
humanvshuman,sketch,humanvshuman_splithalves,27,['subject-03' 'subject-04' 'subject-07'],['subject-01' 'subject-02' 'subject-05' 'subject-06'],0,0.6309413598668331
humanvshuman,sketch,humanvshuman_splithalves,28,['subject-03' 'subject-05' 'subject-06'],['subject-01' 'subject-02' 'subject-04' 'subject-07'],0,0.6976051675077456
humanvshuman,sketch,humanvshuman_splithalves,29,['subject-03' 'subject-05' 'subject-07'],['subject-01' 'subject-02' 'subject-04' 'subject-06'],0,0.6524000752280591
humanvshuman,sketch,humanvshuman_splithalves,30,['subject-03' 'subject-06' 'subject-07'],['subject-01' 'subject-02' 'subject-04' 'subject-05'],0,0.6616338250384277
humanvshuman,sketch,humanvshuman_splithalves,31,['subject-04' 'subject-05' 'subject-06'],['subject-01' 'subject-02' 'subject-03' 'subject-07'],0,0.6826680646651818
humanvshuman,sketch,humanvshuman_splithalves,32,['subject-04' 'subject-05' 'subject-07'],['subject-01' 'subject-02' 'subject-03' 'subject-06'],0,0.6902596939906174
humanvshuman,sketch,humanvshuman_splithalves,33,['subject-04' 'subject-06' 'subject-07'],['subject-01' 'subject-02' 'subject-03' 'subject-05'],0,0.6666381501523029
humanvshuman,sketch,humanvshuman_splithalves,34,['subject-05' 'subject-06' 'subject-07'],['subject-01' 'subject-02' 'subject-03' 'subject-04'],0,0.6466984072325309
