subj,dataset,analysis,split_num,splitA,splitB,condition,pearsonr
humanvshuman,stylized,humanvshuman_splithalves,0,['subject-01' 'subject-02'],['subject-03' 'subject-04' 'subject-05'],0,0.7358038947648718
humanvshuman,stylized,humanvshuman_splithalves,1,['subject-01' 'subject-03'],['subject-02' 'subject-04' 'subject-05'],0,0.7082841265486031
humanvshuman,stylized,humanvshuman_splithalves,2,['subject-01' 'subject-04'],['subject-02' 'subject-03' 'subject-05'],0,0.7208429890909052
humanvshuman,stylized,humanvshuman_splithalves,3,['subject-01' 'subject-05'],['subject-02' 'subject-03' 'subject-04'],0,0.7002574108881965
humanvshuman,stylized,humanvshuman_splithalves,4,['subject-02' 'subject-03'],['subject-01' 'subject-04' 'subject-05'],0,0.6953952271814102
humanvshuman,stylized,humanvshuman_splithalves,5,['subject-02' 'subject-04'],['subject-01' 'subject-03' 'subject-05'],0,0.7035918383707696
humanvshuman,stylized,humanvshuman_splithalves,6,['subject-02' 'subject-05'],['subject-01' 'subject-03' 'subject-04'],0,0.7183888352354257
humanvshuman,stylized,humanvshuman_splithalves,7,['subject-03' 'subject-04'],['subject-01' 'subject-02' 'subject-05'],0,0.7183705051782688
humanvshuman,stylized,humanvshuman_splithalves,8,['subject-03' 'subject-05'],['subject-01' 'subject-02' 'subject-04'],0,0.7204497779565889
humanvshuman,stylized,humanvshuman_splithalves,9,['subject-04' 'subject-05'],['subject-01' 'subject-02' 'subject-03'],0,0.7277874063881017
